discoverymethod,disc_year
Radial Velocity,2007
Radial Velocity,2009
Radial Velocity,2008
Radial Velocity,2002
Radial Velocity,1996
Radial Velocity,2020
Radial Velocity,2008
Imaging,2008
Radial Velocity,2018
Radial Velocity,2010
Radial Velocity,2010
Imaging,2021
Imaging,2013
Imaging,2013
Imaging,2015
Imaging,2010
Imaging,2004
Eclipse Timing Variations,2015
Imaging,2016
Radial Velocity,2009
Radial Velocity,2006
Radial Velocity,2008
Radial Velocity,1996
Radial Velocity,2001
Radial Velocity,2009
Imaging,2015
Radial Velocity,1995
Radial Velocity,1996
Radial Velocity,2004
Radial Velocity,2002
Radial Velocity,2004
Radial Velocity,2007
Radial Velocity,2008
Radial Velocity,2009
Radial Velocity,2009
Radial Velocity,2009
Radial Velocity,2011
Radial Velocity,2019
Radial Velocity,1996
Radial Velocity,2012
Radial Velocity,2015
Radial Velocity,2008
Radial Velocity,2013
Imaging,2022
Imaging,2005
Transit,2020
Transit,2021
Radial Velocity,2017
Radial Velocity,2009
Radial Velocity,2016
Radial Velocity,2013
Radial Velocity,2009
Radial Velocity,2009
Radial Velocity,2012
Transit,2016
Radial Velocity,2021
Radial Velocity,2011
Radial Velocity,2018
Radial Velocity,2015
Radial Velocity,2021
Imaging,2021
Radial Velocity,2021
Radial Velocity,2021
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2009
Radial Velocity,2009
Radial Velocity,2000
Radial Velocity,2014
Radial Velocity,2020
Radial Velocity,2007
Radial Velocity,2008
Radial Velocity,2020
Imaging,2011
Imaging,2021
Imaging,2006
Radial Velocity,2019
Imaging,2021
Imaging,2007
Transit,2008
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2008
Transit,2011
Radial Velocity,2018
Transit,2012
Transit,2014
Transit,2011
Transit,2014
Transit,2014
Transit,2013
Transit,2013
Transit,2014
Transit,2015
Transit,2015
Transit,2008
Transit,2020
Transit,2020
Transit,2022
Transit,2022
Transit,2008
Transit,2009
Transit,2009
Transit,2009
Radial Velocity,2009
Radial Velocity,2022
Transit,2010
Transit,2009
Transit,2017
Eclipse Timing Variations,2018
Astrometry,2013
Imaging,2004
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2019
Eclipse Timing Variations,2009
Transit,2019
Transit,2020
Transit,2019
Transit,2021
Transit,2019
Transit,2021
Transit,2019
Transit,2019
Transit,2020
Transit,2019
Transit,2019
Transit,2019
Transit,2019
Transit,2021
Transit,2021
Transit,2019
Transit,2019
Transit,2021
Transit,2019
Transit,2019
Transit,2022
Transit,2016
Transit,2018
Transit,2019
Transit,2016
Transit,2019
Transit,2019
Transit,2019
Transit,2016
Transit,2021
Transit,2021
Transit,2019
Transit,2019
Transit,2021
Transit,2019
Transit,2016
Transit,2016
Transit,2021
Transit,2018
Transit,2018
Transit,2020
Transit,2020
Transit,2020
Imaging,2008
Radial Velocity,2021
Radial Velocity,2021
Transit,2019
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2020
Radial Velocity,2020
Radial Velocity,2020
Transit,2015
Radial Velocity,2018
Radial Velocity,2010
Radial Velocity,2017
Radial Velocity,2023
Transit,2009
Transit,2020
Radial Velocity,2018
Transit,2019
Radial Velocity,2014
Radial Velocity,2018
Radial Velocity,2014
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2009
Radial Velocity,2014
Radial Velocity,2014
Radial Velocity,2020
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2020
Radial Velocity,2020
Radial Velocity,2014
Radial Velocity,2020
Radial Velocity,2014
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2000
Radial Velocity,2020
Transit,2022
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2007
Radial Velocity,2018
Radial Velocity,2022
Radial Velocity,2013
Radial Velocity,2015
Radial Velocity,2015
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2017
Radial Velocity,2015
Radial Velocity,2020
Radial Velocity,2012
Transit,2020
Radial Velocity,2020
Radial Velocity,2019
Radial Velocity,2020
Transit,2019
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2010
Transit,2021
Radial Velocity,2018
Transit,2022
Radial Velocity,2022
Radial Velocity,2021
Radial Velocity,2017
Radial Velocity,2016
Radial Velocity,2016
Radial Velocity,2019
Radial Velocity,2021
Radial Velocity,2021
Radial Velocity,2014
Radial Velocity,2019
Radial Velocity,2011
Radial Velocity,2014
Radial Velocity,2020
Radial Velocity,2004
Radial Velocity,2020
Radial Velocity,2021
Imaging,2013
Radial Velocity,2022
Radial Velocity,2016
Radial Velocity,2005
Radial Velocity,2007
Radial Velocity,2009
Radial Velocity,2017
Radial Velocity,2009
Radial Velocity,2011
Radial Velocity,2011
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2007
Radial Velocity,2010
Radial Velocity,2016
Radial Velocity,2012
Radial Velocity,2012
Radial Velocity,2022
Radial Velocity,2014
Radial Velocity,2014
Radial Velocity,2019
Radial Velocity,2014
Radial Velocity,2020
Radial Velocity,2021
Radial Velocity,2021
Radial Velocity,2008
Radial Velocity,2006
Radial Velocity,2014
Radial Velocity,1999
Radial Velocity,1998
Radial Velocity,2000
Radial Velocity,2005
Radial Velocity,2010
Radial Velocity,2020
Radial Velocity,2020
Astrometry,2022
Radial Velocity,2020
Radial Velocity,2018
Radial Velocity,2020
Radial Velocity,2022
Transit,2017
Transit,2017
Transit,2017
Transit,2021
Imaging,2004
Imaging,2010
Imaging,2014
Transit,2022
Transit,2022
Radial Velocity,2019
Radial Velocity,2019
Radial Velocity,2018
Transit,2006
Transit,2008
Radial Velocity,2018
Transit,2009
Transit,2009
Radial Velocity,2009
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Radial Velocity,2010
Transit,2010
Transit,2010
Transit,2007
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2010
Transit,2011
Transit,2011
Transit,2011
Transit,2007
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2011
Transit,2012
Transit,2012
Transit,2007
Transit,2012
Transit,2012
Transit,2012
Transit,2012
Transit,2014
Radial Velocity,2014
Transit,2014
Transit,2014
Transit,2014
Transit,2007
Transit,2015
Transit,2015
Transit,2015
Transit,2015
Transit,2015
Transit,2015
Transit,2015
Transit,2015
Transit,2021
Transit,2021
Transit,2007
Transit,2021
Transit,2021
Transit,2021
Transit,2021
Transit,2021
Transit,2016
Transit,2016
Transit,2017
Transit,2020
Transit,2019
Transit,2008
Transit,2019
Transit,2008
Transit,2008
Transit,2012
Transit,2015
Transit,2016
Transit,2016
Transit,2015
Transit,2015
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2013
Transit,2017
Transit,2017
Transit,2017
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2013
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2016
Transit,2018
Transit,2020
Transit,2020
Transit,2018
Transit,2014
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2020
Transit,2020
Transit,2020
Transit,2014
Transit,2017
Transit,2017
Transit,2017
Transit,2017
Transit,2019
Transit,2019
Transit,2019
Transit,2019
Transit,2019
Transit,2018
Radial Velocity,2018
Transit,2015
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2018
Transit,2015
Transit,2019
Transit,2020
Transit,2020
Transit,2021
Transit,2021
Transit,2021
Transit,2021
Transit,2015
Transit,2015
Imaging,2014
Radial Velocity,2011
Radial Velocity,2007
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2005
Radial Velocity,2005
Radial Velocity,2006
Radial Velocity,2008
Radial Velocity,2011
Radial Velocity,2018
Radial Velocity,2010
Radial Velocity,2019
Radial Velocity,2010
Radial Velocity,2009
Radial Velocity,2014
Radial Velocity,2013
Radial Velocity,2022
Radial Velocity,2019
Radial Velocity,2009
Radial Velocity,2014
Radial Velocity,2003
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2002
Radial Velocity,2011
Transit,2017
Transit,2017
Radial Velocity,2006
Radial Velocity,2012
Imaging,2013
Radial Velocity,1999
Radial Velocity,2005
Radial Velocity,2021
Radial Velocity,2002
Transit,2020
Transit,2020
Transit,2020
Transit,2020
Transit,2021
Radial Velocity,2014
Radial Velocity,2011
Radial Velocity,2002
Radial Velocity,2005
Radial Velocity,2010
Radial Velocity,2013
Radial Velocity,2013
Radial Velocity,2021
Radial Velocity,2005
Radial Velocity,2021
Transit,2022
Transit,2022
Radial Velocity,2022
Radial Velocity,2009
Transit,2021
Transit,2021
Radial Velocity,2021
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2003
Radial Velocity,2022
Radial Velocity,2017
Radial Velocity,2016
Radial Velocity,2020
Radial Velocity,2013
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2010
Radial Velocity,2010
Radial Velocity,2017
Radial Velocity,2022
Radial Velocity,2003
Radial Velocity,2014
Radial Velocity,2002
Radial Velocity,2001
Radial Velocity,2018
Radial Velocity,2022
Radial Velocity,2007
Radial Velocity,2008
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2021
Radial Velocity,2011
Radial Velocity,2018
Radial Velocity,2004
Radial Velocity,2015
Radial Velocity,2004
Radial Velocity,2005
Radial Velocity,2005
Radial Velocity,2008
Radial Velocity,2005
Radial Velocity,2013
Radial Velocity,2003
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2022
Radial Velocity,2021
Radial Velocity,2016
Radial Velocity,2022
Radial Velocity,2019
Radial Velocity,2009
Radial Velocity,2007
Radial Velocity,2009
Radial Velocity,2009
Radial Velocity,2015
Radial Velocity,2018
